date_key,date,year,month,month_name,iso_year,iso_week,iso_yearweek,week_start_date,store_code,store_name,orders,net_revenue,aov,units,asp,units_per_order
20210116,2021-01-16,2021,1,January,2021,2,202102,2021-01-11,PA,Pasion Albiverde (Store),1,199.99,199.99,1.000,199.99,1.00
20210118,2021-01-18,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),1,99.99,99.99,1.000,99.99,1.00
20210120,2021-01-20,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),1,120.00,120.00,4.000,30.00,4.00
20210121,2021-01-21,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),10,1033.96,103.40,30.000,34.47,3.00
20210122,2021-01-22,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),2,89.99,45.00,3.000,30.00,1.50
20210123,2021-01-23,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),5,544.99,109.00,10.000,54.50,2.00
20210124,2021-01-24,2021,1,January,2021,3,202103,2021-01-18,PA,Pasion Albiverde (Store),2,224.98,112.49,7.000,32.14,3.50
20210125,2021-01-25,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),5,439.99,88.00,13.000,33.85,2.60
20210126,2021-01-26,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),1,140.00,140.00,4.000,35.00,4.00
20210127,2021-01-27,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),3,155.00,51.67,5.000,31.00,1.67
20210128,2021-01-28,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),4,518.98,129.75,11.000,47.18,2.75
20210129,2021-01-29,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),3,254.00,84.67,5.000,50.80,1.67
20210130,2021-01-30,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),3,598.97,199.66,9.000,66.55,3.00
20210131,2021-01-31,2021,1,January,2021,4,202104,2021-01-25,PA,Pasion Albiverde (Store),2,270.00,135.00,6.000,45.00,3.00
20210201,2021-02-01,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),8,948.98,118.62,19.000,49.95,2.38
20210202,2021-02-02,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),1,35.00,35.00,1.000,35.00,1.00
20210203,2021-02-03,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),2,154.00,77.00,3.000,51.33,1.50
20210204,2021-02-04,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),8,668.96,83.62,18.000,37.16,2.25
20210205,2021-02-05,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),6,533.97,89.00,10.000,53.40,1.67
20210207,2021-02-07,2021,2,February,2021,5,202105,2021-02-01,PA,Pasion Albiverde (Store),3,154.99,51.66,4.000,38.75,1.33
20210208,2021-02-08,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),4,263.98,66.00,7.000,37.71,1.75
20210209,2021-02-09,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),3,299.98,99.99,4.000,75.00,1.33
20210210,2021-02-10,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),1,70.00,70.00,2.000,35.00,2.00
20210211,2021-02-11,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),8,883.97,110.50,18.000,49.11,2.25
20210212,2021-02-12,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),5,693.96,138.79,15.000,46.26,3.00
20210213,2021-02-13,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),1,85.00,85.00,1.000,85.00,1.00
20210214,2021-02-14,2021,2,February,2021,6,202106,2021-02-08,PA,Pasion Albiverde (Store),1,129.99,129.99,1.000,129.99,1.00
20210221,2021-02-21,2021,2,February,2021,7,202107,2021-02-15,PA,Pasion Albiverde (Store),1,70.00,70.00,2.000,35.00,2.00
20210223,2021-02-23,2021,2,February,2021,8,202108,2021-02-22,PA,Pasion Albiverde (Store),1,85.00,85.00,1.000,85.00,1.00
20210225,2021-02-25,2021,2,February,2021,8,202108,2021-02-22,PA,Pasion Albiverde (Store),3,239.97,79.99,3.000,79.99,1.00
20210227,2021-02-27,2021,2,February,2021,8,202108,2021-02-22,PA,Pasion Albiverde (Store),3,239.97,79.99,3.000,79.99,1.00
20210301,2021-03-01,2021,3,March,2021,9,202109,2021-03-01,PA,Pasion Albiverde (Store),4,274.97,68.74,4.000,68.74,1.00
20210302,2021-03-02,2021,3,March,2021,9,202109,2021-03-01,PA,Pasion Albiverde (Store),2,159.98,79.99,2.000,79.99,1.00
20210305,2021-03-05,2021,3,March,2021,9,202109,2021-03-01,PA,Pasion Albiverde (Store),2,159.98,79.99,2.000,79.99,1.00
20210306,2021-03-06,2021,3,March,2021,9,202109,2021-03-01,PA,Pasion Albiverde (Store),1,79.99,79.99,1.000,79.99,1.00
20210309,2021-03-09,2021,3,March,2021,10,202110,2021-03-08,PA,Pasion Albiverde (Store),5,659.94,131.99,12.000,55.00,2.40
20210310,2021-03-10,2021,3,March,2021,10,202110,2021-03-08,PA,Pasion Albiverde (Store),14,1369.77,97.84,29.000,47.23,2.07
